Datefirstseen,SrcIPAddr,DstIPAddr,Datefirstseenunix,Duration,Proto,SrcPt,DstPt,Packets,Bytes
2016-09-12 18:28:32.751,8.8.4.4,192.168.56.12,1473697712,0,UDP,53,57236,1,93
2016-09-12 18:28:32.751,8.8.4.4,192.168.56.12,1473697712,0,UDP,53,57259,1,93
2016-09-12 18:28:32.755,192.168.56.12,8.8.4.4,1473697712,0,UDP,65178,53,1,77
2016-09-12 18:28:32.756,192.168.56.12,8.8.4.4,1473697712,0,UDP,52164,53,1,77
2016-09-12 18:28:32.763,8.8.4.4,192.168.56.12,1473697712,0,UDP,53,65178,1,93
2016-09-12 18:28:32.822,8.8.4.4,192.168.56.12,1473697712,0,UDP,53,52164,1,93
2016-09-12 18:28:46.561,192.168.56.12,8.8.4.4,1473697726,0,UDP,58727,53,1,34
2016-09-12 18:28:46.569,8.8.4.4,192.168.56.12,1473697726,0,UDP,53,58727,1,89
2016-09-12 18:28:49.124,192.168.56.12,8.8.4.4,1473697729,0,UDP,57472,53,1,77
2016-09-12 18:28:49.201,8.8.4.4,192.168.56.12,1473697729,0,UDP,53,57472,1,93
2016-09-12 18:28:51.017,192.168.56.12,8.8.4.4,1473697731,0,UDP,50949,53,1,77
2016-09-12 18:28:51.066,192.168.56.12,8.8.4.4,1473697731,0,UDP,62200,53,1,33
2016-09-12 18:28:51.075,8.8.4.4,192.168.56.12,1473697731,0,UDP,53,62200,1,49
2016-09-12 18:28:51.429,8.8.4.4,192.168.56.12,1473697731,0,UDP,53,50949,1,93
2016-09-12 18:28:51.496,192.168.56.12,52.18.63.80,1473697731,0,ICMP,0,8,1,32
2016-09-12 18:28:53.285,192.168.56.12,52.18.63.80,1473697733,0,ICMP,0,8,1,32
2016-09-12 18:29:19.939,192.168.56.12,8.8.4.4,1473697759,0,UDP,60389,53,1,77
2016-09-12 18:29:19.976,8.8.4.4,192.168.56.12,1473697759,0,UDP,53,60389,1,93
2016-09-12 18:29:20.099,192.168.56.12,8.8.4.4,1473697760,0,UDP,52879,53,1,77
2016-09-12 18:29:20.100,192.168.56.12,8.8.4.4,1473697760,0,UDP,50019,53,1,77
2016-09-12 18:29:20.100,192.168.56.12,8.8.4.4,1473697760,0,UDP,52717,53,1,77
2016-09-12 18:29:20.135,8.8.4.4,192.168.56.12,1473697760,0,UDP,53,52879,1,93
2016-09-12 18:29:20.135,8.8.4.4,192.168.56.12,1473697760,0,UDP,53,50019,1,93
2016-09-12 18:29:20.137,8.8.4.4,192.168.56.12,1473697760,0,UDP,53,52717,1,93
2016-09-12 18:29:20.137,192.168.56.12,8.8.4.4,1473697760,0,UDP,61697,53,1,77
2016-09-12 18:29:20.142,192.168.56.12,8.8.4.4,1473697760,0,UDP,63229,53,1,77
2016-09-12 18:29:20.146,8.8.4.4,192.168.56.12,1473697760,0,UDP,53,61697,1,93
2016-09-12 18:29:20.178,8.8.4.4,192.168.56.12,1473697760,0,UDP,53,63229,1,93
